province,provinceLabel,governor,name,position,positionLabel,start,end,sourceDate,psid
Q13772,Capiz,Q5496959,Fredenil Castro,Q67275771,Governor of Capiz,2022-06-30,,,Q5496959-EE4ADE2A-49C4-42B6-8DE3-EDCB1285C16A
Q13778,Catanduanes,Q17371023,Joseph Cua,Q67275774,Governor of Catanduanes,2016-06-30,,,Q17371023-F4F989A5-D586-47B8-9147-1CC5D27BA620
Q13785,Cavite,Q491455,"Juanito Victor C. Remulla, Jr.",Q17071640,Governor of Cavite,2019-06-30,,2022-07-25,Q491455-513B13E7-242A-4F7B-B966-011D01003D69
Q13786,Cebu,Q2720262,Gwendolyn Garcia,Q67275777,Governor of Cebu,2019-06-30,,,Q2720262-1556A41B-C42D-4643-A9FD-FADF193B1228
Q13791,Cotabato,Q5373635,Emmylou Taliño-Mendoza,Q25039635,Governor of Cotabato,2022-06-30,,,Q5373635-6E69AA65-E7A9-4BAA-BEA9-8FA8D5148F00
Q3656379,Davao Occidental,Q5491304,Franklin Bautista,Q67275793,Governor of Davao Occidental,2022-06-30,,,Q5491304-4C45A30E-AE36-4700-AC6D-CA1F09FA33BB
Q13806,Davao Oriental,Q5169661,Corazon Nuñez Malanyaon,Q67275798,Governor of Davao Oriental,2022-06-30,,2022-07-25,Q5169661-4772D4E8-F50C-4695-A7F5-D5CA8751DBBC
Q13789,Davao de Oro,Q113270412,Dorothy Gonzaga,Q67275783,Governor of Davao de Oro,2022-06-30,,,Q113270412-57500257-0B01-4B9A-958C-DF34C67FAA07
Q13792,Davao del Norte,Q66382966,Edwin Jubahib,Q67275785,Governor of Davao del Norte,2019-06-30,,,Q66382966-04CFA7BA-ECD9-4626-B0C0-F5CE95983F92
Q13794,Davao del Sur,Q113270416,Yvonne Rhona Cagas,Q67275789,Governor of Davao del Sur,2022-06-30,,,Q113270416-7656DA43-7B7B-49D5-AB5F-62A2FC2C5A96
Q13807,Dinagat Islands,Q113270419,Nilo Demerey Jr.,Q67275799,Governor of Dinagat Islands,2022-06-30,,,Q113270419-E9E030AE-E0F0-40B8-9F09-ED05D9EB7D7B
Q13809,Eastern Samar,Q17371063,Ben Evardone,Q67275806,Governor of Eastern Samar,2019-06-30,,,Q17371063-D5E3468E-DAA2-46E2-822E-B99C12A4DE7D
Q13810,Guimaras,Q113270422,Joaquin Carlos Rahman Nava,Q67275808,Governor of Guimaras,2022-06-30,,,Q113270422-E8AD7378-2080-4C8F-BBBE-DBC2D5EED540
Q13812,Ifugao,Q66305504,Jerry U. Dalipog,Q61337009,Governor of Ifugao,2019-06-30,,2022-07-25,Q66305504-662B7532-FF4D-430D-9922-05190C45A862
Q13813,Ilocos Norte,Q66372258,Matthew Marcos Manotoc,Q61337171,Governor of Ilocos Norte,2019-06-30,,2022-07-25,Q66372258-99A2BF92-7298-466D-A92E-B23F56D2E18B
Q12741,Ilocos Sur,Q6184443,Jeremias C. Singson,Q61337180,Governor of Ilocos Sur,2022-06-30,,2022-07-25,Q6184443-7373D172-A30D-4038-AEA7-C36AE6E940AB
Q13825,Iloilo,Q17370945,Arthur Defensor Jr.,Q67274299,Governor of Iloilo,2019-06-30,,,Q17370945-D8995AE4-652D-45E3-8DF0-FB41851AF01D
Q13826,Isabela,Q59514714,Rodolfo Albano III,Q61337350,Governor of Isabela,2019-06-30,,2022-07-25,Q59514714-11512AF3-AFF4-4A76-978E-367BC249F24D
Q13827,Kalinga,Q113270426,James Edduba,Q61337054,Governor of Kalinga,2022-06-30,,,Q113270426-B856012A-36F3-47A0-A299-A57F34924287
Q13829,La Union,Q113270434,Raphaelle Veronica Ortega-David,Q61337198,Governor of La Union,2022-06-30,,,Q113270434-35DE90C3-1DD4-4AF2-9F78-CDFEAB9ADFB6
Q13840,Laguna,Q65926769,Ramil Hernandez,Q17156099,Governor of Laguna,2014-05-30,,,Q65926769-54A26200-EC94-4192-B3A6-6B0B9520EC53
Q13841,Lanao del Norte,Q12964952,Imelda Dimaporo,Q67275812,Governor of Lanao del Norte,2016-06-30,,,Q12964952-E426705A-9CF8-4B70-B116-215971D5769B
Q13843,Lanao del Sur,Q6745686,Mamintal Adiong,Q67275817,Governor of Lanao del Sur,2019-06-30,,2022-07-25,Q6745686-1CD33D0C-2695-48DE-8F41-9D78D77CA131
Q13844,Leyte,Q6182172,Jericho Petilla,Q67275821,Governor of Leyte,2022-06-30,,,Q6182172-CDBCC8E2-59C1-464F-994A-E8ADDB8D63D7
Q13845,Maguindanao,Q66493824,Bai Mariam Mangudadatu,Q67275826,Governor of Maguindanao,2019-06-30,,,Q66493824-7D33BA43-F594-4D7B-B341-370AE25C6B77
Q13846,Marinduque,Q7240707,"Presbitero J. Velasco, Jr.",Q67275829,Governor of Marinduque,2019-06-30,,2022-07-25,Q7240707-C0D4CD60-A0A7-4ADF-8E21-C2B654D0D1EB
Q13847,Masbate,Q17371122,Antonio Kho,Q67275833,Governor of Masbate,2016-06-30,,,Q17371122-4B2096CE-CEED-478E-B843-F46037563A97
Q13857,Misamis Occidental,Q109285835,Henry Oaminal,Q67275837,Governor of Misamis Occidental,2022-06-30,,,Q109285835-EA553711-198B-4663-A71F-E860C3922275
Q13860,Misamis Oriental,Q12969408,Peter Unabia,Q67275841,Governor of Misamis Oriental,2022-06-30,,,Q12969408-67822279-45d0-84c4-0c9e-8f1291680593
Q13861,Mountain Province,Q67508965,Bonifacio C. Lacwasan,Q67275843,Governor of Mountain Province,2019-06-30,,,Q67508965-D1328603-39A6-4AF6-BDE5-CEABADFB14CC
Q13862,Negros Occidental,Q28673565,Eugenio Jose Lacson,Q25039625,Governor of Negros Occidental,2019-06-30,,,Q28673565-F4F4F3B7-097D-4FF6-BF8A-75014710CE0A
Q13863,Negros Oriental,Q7253238,Pryde Henry Teves,Q30591872,Governor of Negros Oriental,2022-06-30,,,Q7253238-463445E5-FBCB-43E7-B1F8-27C4A23AAEA6
Q13864,Northern Samar,Q66057572,Edwin Ongchuan,Q12175983,Governor of Northern Samar,2019-06-30,,,Q66057572-9A1E4C67-26E9-4986-BF15-F267912E91E9
Q13865,Nueva Ecija,Q17371328,Aurelio Umali,Q67275846,Governor of Nueva Ecija,2019-06-30,,,Q17371328-88933F5E-6680-4A47-A653-4EA4773AF1B1
Q13866,Nueva Vizcaya,Q12962521,Carlos Padilla,Q61337468,Governor of Nueva Vizcaya,2016-06-30,,2022-07-25,Q12962521-8905D71E-0196-45DD-BE8D-3A2AEBCB57C2
Q13867,Occidental Mindoro,Q66187272,Eduardo Gadiano,Q55612863,Governor of Occidental Mindoro,2019-06-30,,,Q66187272-93A22798-27DC-4E3D-A23F-6414A06FEE61
Q13868,Oriental Mindoro,Q65925036,Humerlito Dolor,Q67275849,Governor of Oriental Mindoro,2019-06-30,,,Q65925036-FD764051-2E67-4C28-8010-33B6FF224873
Q13869,Palawan,Q113270596,Victorino Dennis M. Socrates,Q67275855,Governor of Palawan,2022-06-30,,,Q113270596-8270084f-4ba2-5852-ef78-9be8b42cc0d9
Q13870,Pampanga,Q65967168,Dennis Pineda,Q17071659,Governor of Pampanga,2019-06-30,,,Q65967168-A5ED230C-BC09-4A8E-A30E-DF02BE801441
Q13871,Pangasinan,Q62390144,Ramon Guico III,Q5589695,Governor of Pangasinan,2022-06-30,,2022-07-25,Q62390144-2820AA9C-739A-4742-9DF7-AE1EF0D261BC
Q13872,Quezon,Q111577115,"Angelina ""Helen"" DL. Tan",Q28402096,Governor of Quezon,2022-06-30,,2022-07-25,Q111577115-60C7EAD3-A28A-4BD1-A9E2-CB6A5D1762B9
Q13873,Quirino,Q5209949,Dakila Carlo E. Cua,Q61337576,Governor of Quirino,2019-06-30,,2022-07-25,Q5209949-2F46DC80-92EA-4A72-B85B-4CB040DA91DD
Q13874,Rizal,Q112317708,Nina Ricci A. Ynares,Q17071676,Governor of Rizal,2022-06-30,,2022-07-25,Q112317708-A329B864-B6BC-4334-955E-5D44FD845D1D
Q13875,Romblon,Q66013201,Jose Riano,Q17071693,Governor of Romblon,2019-06-30,,,Q66013201-CF1CD734-870D-4211-BC65-32A7C3254ECF
Q13876,Samar,Q66777117,Sharee Ann Tan,Q25039627,Governor of Samar,2022-06-30,,2022-07-25,Q66777117-2c3c08e2-4122-7c42-5ba8-8d9c57bae145
Q13877,Sarangani,Q66777075,Rogelio Pacquiao,Q67275859,Governor of Sarangani,2022-06-30,,,Q66777075-6144C8D9-D8F4-4E73-BC61-DA21B3CD5AAF
Q13879,Siquijor,Q66777133,Jake Vincent Villa,Q67275861,Governor of Siquijor,2022-06-30,,,Q66777133-ADE90CC1-AE0F-4675-AE1D-C6B82F52B334
Q13881,Sorsogon,Q113270450,Boboy Hamor,Q25039530,Governor of Sorsogon,2022-06-30,,,Q113270450-C22FE3DA-72F3-4141-BF82-1ACCB52232D1
Q13882,South Cotabato,Q66417352,Reynaldo Tamayo Jr.,Q67275865,Governor of South Cotabato,2019-06-30,,,Q66417352-B8E61616-5A80-4F1E-AA5E-0ECCA814A1CE
Q13884,Southern Leyte,Q17371182,Damian Mercado,Q67275869,Governor of Southern Leyte,2016-06-30,,,Q17371182-1C171400-BB54-4CE6-B128-8A541672D7F7
Q13885,Sultan Kudarat,Q113270457,Datu Pax Ali Mangudadatu,Q67275874,Governor of Sultan Kudarat,2022-06-30,,,Q113270457-B8A6DFE1-924D-408F-88BB-6A890AAB28E0
Q13887,Sulu,Q2683983,Abdusakur Mahail Tan,Q67275879,Governor of Sulu,2013-06-30,,2022-07-25,Q2683983-9627B891-868B-48BC-8524-1C7C0B222D8F
Q13889,Surigao del Norte,Q113270467,Robert Lyndon Barbers,Q67275884,Governor of Surigao del Norte,2022-06-30,,,Q113270467-4C12E1F3-4BBC-4600-9C41-A03D44099C11
Q13891,Surigao del Sur,Q66258804,Alexander Pimentel,Q67275887,Governor of Surigao del Sur,2019-06-30,,,Q66258804-DB54B2CB-1AA3-4785-92DB-B16753D4B636
Q13892,Tarlac,Q23874834,Susan Yap,Q67275892,Governor of Tarlac,2016-06-30,,2022-07-25,Q23874834-898DF8BE-9316-4DEC-BB89-871CCCD5AE7D
Q13893,Tawi-Tawi,Q66493814,Yshmael Sali,Q67275894,Governor of Tawi-Tawi,2019-06-30,,,Q66493814-6CF47324-AC62-4EA7-A873-556B0A73F1C0
Q13895,Zambales,Q983319,"Hermogenes E. Ebdane, Jr.",Q25050674,Governor of Zambales,2019-06-30,,2022-07-25,Q983319-C8D1DCDC-9645-46AD-95B0-9FA70BB9305E
Q13902,Zamboanga Sibugay,Q17371094,Dulce Ann Hofer,Q17027439,Governor of Zamboanga Sibugay,2022-06-30,,2022-07-25,Q17371094-22891408-A267-43BC-A9F7-8059C9F3339A
Q13899,Zamboanga del Norte,Q113004786,Rosalina Jalosjos,Q17071709,Governor of Zamboanga del Norte,2022-06-30,,,Q113004786-78ba9af1-4a6d-da02-91e4-9198ef512764
Q13900,Zamboanga del Sur,Q7926469,Victor Yu,Q17071723,Governor of Zamboanga del Sur,2019-06-30,,,Q7926469-EFDC95CB-D13A-4CF1-87A4-C196E254FF60
